"Date","Price","Open","High","Low","Vol.","Change %"
"14/04/2022","119.66","116.33","119.66","116.33","","2.86%"
"13/04/2022","116.33","117.79","117.79","116.33","","-1.24%"
"12/04/2022","117.79","129.87","129.87","117.79","","-9.30%"
"11/04/2022","129.87","122.67","129.87","122.67","","4.01%"
"08/04/2022","124.86","122.67","124.86","122.67","","1.79%"
"07/04/2022","122.67","123.92","123.92","122.67","","-1.01%"
"06/04/2022","123.92","116.37","123.92","116.37","","6.49%"
"05/04/2022","116.37","108.37","116.37","108.37","","7.38%"
"04/04/2022","108.37","106.88","108.37","106.88","","0.03%"
"01/04/2022","108.34","106.88","108.34","106.88","","1.37%"
"31/03/2022","106.88","112.98","112.98","106.88","","-5.40%"
"30/03/2022","112.98","117.92","117.92","112.98","","-4.19%"
"29/03/2022","117.92","129.28","129.28","117.92","","-8.79%"
"28/03/2022","129.28","113.14","129.28","113.14","","3.20%"
"25/03/2022","125.27","113.14","125.27","113.14","","10.72%"
"24/03/2022","113.14","105.72","113.14","105.72","","7.02%"
"23/03/2022","105.72","105.38","105.72","105.38","","0.32%"
"22/03/2022","105.38","101.94","105.38","101.94","","3.37%"
"21/03/2022","101.94","91.76","101.94","91.76","","11.08%"
"18/03/2022","91.77","91.76","91.77","91.76","","0.01%"
"17/03/2022","91.76","100.57","100.57","91.76","","-8.76%"
"16/03/2022","100.57","101.03","101.03","100.57","","-0.46%"
"15/03/2022","101.03","105.08","105.08","101.03","","-3.85%"
"14/03/2022","105.08","99.03","105.08","99.03","","6.11%"
"11/03/2022","99.03","105.31","105.31","99.03","","-5.96%"
"10/03/2022","105.31","110.90","110.90","105.31","","-5.04%"
"09/03/2022","110.90","133.37","133.37","110.90","","-16.85%"
"08/03/2022","133.37","140.03","140.03","133.37","","-4.76%"
"07/03/2022","140.03","115.18","140.03","115.18","","6.23%"
"04/03/2022","131.82","115.18","131.82","115.18","","14.45%"
"03/03/2022","115.18","110.28","115.18","110.28","","4.44%"
"02/03/2022","110.28","118.26","118.26","110.28","","-6.75%"
"01/03/2022","118.26","100.40","118.26","100.40","","17.79%"
"28/02/2022","100.40","100.75","100.75","100.40","","7.56%"
"25/02/2022","93.34","100.75","100.75","93.34","","-7.35%"
"24/02/2022","100.75","95.15","100.75","95.15","","5.89%"
"23/02/2022","95.15","95.54","95.54","95.15","","-0.41%"
"22/02/2022","95.54","94.36","95.54","94.36","","1.25%"
"18/02/2022","94.36","96.17","96.17","94.36","","-1.88%"
"17/02/2022","96.17","92.74","96.17","92.74","","3.70%"
"16/02/2022","92.74","94.00","94.00","92.74","","-1.34%"
"15/02/2022","94.00","102.28","102.28","94.00","","-8.10%"
"14/02/2022","102.28","88.52","102.28","88.52","","8.77%"
"11/02/2022","94.03","88.52","94.03","88.52","","6.22%"
"10/02/2022","88.52","81.76","88.52","81.76","","8.27%"
"09/02/2022","81.76","82.72","82.72","81.76","","-1.16%"
"08/02/2022","82.72","87.44","87.44","82.72","","-5.40%"
"07/02/2022","87.44","85.74","87.44","85.74","","-0.27%"
"04/02/2022","87.68","85.74","87.68","85.74","","2.26%"
"03/02/2022","85.74","84.85","85.74","84.85","","1.05%"
"02/02/2022","84.85","85.22","85.22","84.85","","-0.43%"
"01/02/2022","85.22","85.14","85.22","85.14","","0.09%"
"31/01/2022","85.14","85.62","85.62","85.14","","-0.18%"
"28/01/2022","85.29","85.62","85.62","85.29","","-0.39%"
"27/01/2022","85.62","85.75","85.75","85.62","","-0.15%"
"26/01/2022","85.75","84.57","85.75","84.57","","1.40%"
"25/01/2022","84.57","83.77","84.57","83.77","","0.95%"
"24/01/2022","83.77","80.96","83.77","80.96","","3.38%"
"21/01/2022","81.03","80.96","81.03","80.96","","0.09%"
"20/01/2022","80.96","80.14","80.96","80.14","","1.02%"
"19/01/2022","80.14","84.63","84.63","80.14","","-5.31%"
"18/01/2022","84.63","76.59","84.63","76.59","","10.50%"
"14/01/2022","76.59","72.57","76.59","72.57","","5.54%"
"13/01/2022","72.57","74.55","74.55","72.57","","-2.66%"
"12/01/2022","74.55","77.85","77.85","74.55","","-4.24%"
"11/01/2022","77.85","78.12","78.12","77.85","","-0.35%"
"10/01/2022","78.12","77.73","78.12","77.73","","4.59%"
