"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2018","153.84","153.78","154.05","153.77","69.70K","-0.03%"
"10/05/2018","153.89","153.68","154.17","153.68","90.54K","0.09%"
"09/05/2018","153.75","153.65","153.80","153.43","100.04K","0.05%"
"08/05/2018","153.68","154.13","154.15","153.58","90.90K","-0.33%"
"07/05/2018","154.19","153.90","154.26","153.90","38.48K","0.14%"
"04/05/2018","153.97","154.04","154.29","153.92","95.22K","-0.15%"
"03/05/2018","154.20","153.67","154.28","153.45","189.47K","0.35%"
"02/05/2018","153.66","153.74","153.75","153.50","86.49K","-0.10%"
"30/04/2018","153.81","153.75","153.89","153.44","86.58K","0.04%"
"27/04/2018","153.75","153.45","153.86","153.44","94.49K","0.22%"
"26/04/2018","153.42","152.93","153.54","152.88","141.70K","0.38%"
"25/04/2018","152.84","153.10","153.10","152.65","85.63K","-0.07%"
"24/04/2018","152.94","153.09","153.26","152.67","122.53K","-0.07%"
"23/04/2018","153.04","153.08","153.21","152.90","127.60K","-0.21%"
"20/04/2018","153.36","153.44","153.57","153.16","107.42K","-0.01%"
"19/04/2018","153.37","154.14","154.17","153.28","139.44K","-0.53%"
"18/04/2018","154.19","154.38","154.71","154.18","101.20K","-0.17%"
"17/04/2018","154.45","154.07","154.55","154.05","100.12K","0.16%"
"16/04/2018","154.20","154.28","154.28","153.78","126.31K","-0.09%"
"13/04/2018","154.34","154.22","154.37","153.92","111.99K","0.08%"
"12/04/2018","154.22","154.26","154.49","154.11","149.35K","-0.13%"
"11/04/2018","154.42","154.11","154.61","154.11","116.06K","0.28%"
"10/04/2018","153.99","154.44","154.63","153.96","165.22K","-0.25%"
"09/04/2018","154.37","154.36","154.50","154.28","98.41K","-0.06%"
"06/04/2018","154.46","154.24","154.48","154.13","101.05K","0.18%"
"05/04/2018","154.19","154.39","154.47","154.04","140.94K","-0.29%"
"04/04/2018","154.64","154.40","154.77","154.33","97.85K","0.14%"
"03/04/2018","154.42","154.79","154.84","154.17","149.66K","-0.11%"
"29/03/2018","154.59","154.25","154.63","154.22","95.63K","0.15%"
"28/03/2018","154.36","154.36","154.74","154.28","146.74K","0.03%"
"27/03/2018","154.31","153.84","154.32","153.79","141.79K","0.27%"
"26/03/2018","153.90","153.94","153.96","153.68","84.29K","-0.04%"
"23/03/2018","153.96","153.98","154.03","153.61","110.66K","0.00%"
"22/03/2018","153.96","153.21","154.01","153.13","119.44K","0.67%"
"21/03/2018","152.93","153.02","153.06","152.76","75.74K","-0.10%"
"20/03/2018","153.08","153.08","153.14","152.84","90.37K","-0.03%"
"19/03/2018","153.12","153.01","153.17","152.65","112.50K","0.02%"
"16/03/2018","153.09","153.08","153.25","152.96","82.35K","0.03%"
"15/03/2018","153.04","152.69","153.16","152.67","120.25K","0.12%"
"14/03/2018","152.85","152.53","152.87","152.27","101.73K","0.26%"
"13/03/2018","152.45","152.24","152.56","152.19","109.79K","0.10%"
"12/03/2018","152.30","152.05","152.41","151.94","61.06K","0.19%"
"09/03/2018","152.01","152.29","152.36","151.97","78.12K","-1.22%"
"08/03/2018","153.88","154.04","154.04","153.86","8.10K","-0.08%"
"07/03/2018","154.00","153.75","154.14","153.73","66.08K","0.23%"
"06/03/2018","153.65","153.88","154.10","153.32","377.72K","-0.32%"
"05/03/2018","154.14","154.23","154.35","153.73","327.60K","0.13%"
"02/03/2018","153.94","154.01","154.27","153.73","187.93K","0.03%"
"01/03/2018","153.90","153.75","154.07","153.70","191.10K","0.14%"
"28/02/2018","153.68","153.41","153.78","153.21","152.48K","0.22%"
"27/02/2018","153.35","153.53","153.60","153.19","130.00K","-0.16%"
"26/02/2018","153.59","153.67","153.71","153.39","98.37K","0.01%"
"23/02/2018","153.57","152.82","153.61","152.80","94.53K","0.44%"
"22/02/2018","152.89","152.46","152.97","152.36","88.62K","0.12%"
"21/02/2018","152.70","152.59","153.03","152.57","88.18K","0.07%"
"20/02/2018","152.59","152.44","152.82","152.24","82.84K","-0.01%"
"19/02/2018","152.60","152.90","152.98","152.47","57.06K","-0.27%"
"16/02/2018","153.02","152.31","153.19","152.25","90.98K","0.39%"
"15/02/2018","152.43","152.33","152.54","152.03","113.37K","-0.10%"
"14/02/2018","152.58","152.73","152.99","152.26","97.76K","-0.03%"
"13/02/2018","152.62","152.66","152.97","152.50","80.84K","0.03%"
"12/02/2018","152.58","152.24","152.78","152.21","73.07K","-0.03%"
"09/02/2018","152.62","152.62","152.91","152.39","119.46K","0.18%"
"08/02/2018","152.35","152.52","152.90","151.99","162.17K","-0.26%"
"07/02/2018","152.75","152.88","153.31","152.62","131.94K","-0.18%"
"06/02/2018","153.02","153.20","153.41","152.68","158.64K","0.41%"
"05/02/2018","152.39","152.00","152.76","152.00","108.93K","0.05%"
"02/02/2018","152.32","152.52","152.72","152.14","132.10K","-0.35%"
"01/02/2018","152.86","152.75","153.04","152.43","196.12K","-0.05%"
"31/01/2018","152.93","153.10","153.34","152.84","142.15K","-0.03%"
"30/01/2018","152.98","152.70","153.27","152.70","122.86K","0.10%"
"29/01/2018","152.82","153.57","153.65","152.76","128.25K","-0.59%"
"26/01/2018","153.73","154.20","154.39","153.68","115.62K","-0.19%"
"25/01/2018","154.03","154.51","154.75","153.63","146.13K","-0.19%"
"24/01/2018","154.32","154.66","154.68","154.17","112.02K","-0.19%"
"23/01/2018","154.61","154.53","155.02","154.51","96.93K","0.00%"
"22/01/2018","154.61","154.43","154.70","154.25","64.80K","0.04%"
"19/01/2018","154.55","154.37","154.76","154.27","77.89K","0.04%"
"18/01/2018","154.49","154.51","154.63","154.15","113.53K","-0.12%"
"17/01/2018","154.68","154.72","154.83","154.58","81.92K","-0.01%"
"16/01/2018","154.70","154.36","154.97","154.35","105.61K","0.28%"
"15/01/2018","154.27","154.53","154.63","154.23","71.34K","-0.01%"
"12/01/2018","154.28","154.29","154.56","154.09","109.58K","0.10%"
"11/01/2018","154.12","155.19","155.37","154.11","133.91K","-0.49%"
"10/01/2018","154.88","154.80","155.12","154.66","119.58K","-0.06%"
"09/01/2018","154.97","155.22","155.69","154.91","101.63K","-0.28%"
"08/01/2018","155.41","155.21","155.64","154.97","65.73K","0.12%"
"05/01/2018","155.23","155.27","155.45","155.11","89.53K","-0.01%"
"04/01/2018","155.24","154.95","155.30","154.89","154.52K","0.10%"
"03/01/2018","155.08","154.78","155.35","154.72","127.03K","0.19%"
"02/01/2018","154.79","155.46","155.46","154.69","91.97K","-0.25%"
"29/12/2017","155.18","155.31","155.62","155.02","58.42K","-0.21%"
"28/12/2017","155.51","155.98","156.06","155.30","50.34K","-0.39%"
"27/12/2017","156.12","155.63","156.16","155.63","47.12K","0.19%"
"22/12/2017","155.82","155.78","155.93","155.66","32.86K","-0.01%"
"21/12/2017","155.83","155.77","155.90","155.57","62.01K","0.08%"
"20/12/2017","155.71","156.45","156.52","155.54","110.69K","-0.45%"
"19/12/2017","156.42","157.33","157.44","156.17","101.67K","-0.64%"
"18/12/2017","157.42","157.46","157.60","157.19","69.65K","0.03%"
"15/12/2017","157.37","157.37","157.62","157.24","71.80K","0.13%"
"14/12/2017","157.16","157.13","157.32","156.80","86.79K","0.04%"
"13/12/2017","157.09","157.45","157.45","156.76","108.93K","-0.10%"
"12/12/2017","157.25","157.55","157.59","157.17","76.53K","-0.22%"
"11/12/2017","157.59","157.40","157.65","157.28","61.76K","0.08%"
