"Date","Price","Open","High","Low","Vol.","Change %"
"30/11/2021","131.55","131.30","132.05","131.03","231.97K","0.38%"
"29/11/2021","131.05","130.97","131.33","130.64","908.35K","-0.09%"
"27/11/2021","131.17","131.17","131.17","131.17","","0.00%"
"26/11/2021","131.17","129.84","131.33","129.75","2.09M","0.71%"
"25/11/2021","130.25","129.84","130.25","129.75","279.16K","0.32%"
"24/11/2021","129.83","129.77","130.11","129.50","3.18M","0.04%"
"23/11/2021","129.78","129.97","130.06","129.59","3.34M","-0.17%"
"22/11/2021","130.00","130.75","130.75","129.91","3.14M","-0.56%"
"20/11/2021","130.73","130.73","130.73","130.73","","-0.11%"
"19/11/2021","130.88","130.58","131.25","130.42","2.14M","0.23%"
"18/11/2021","130.58","130.52","130.67","130.36","1.36M","0.10%"
"17/11/2021","130.45","130.16","130.59","130.05","1.29M","0.22%"
"16/11/2021","130.17","130.31","130.53","130.09","1.41M","-0.10%"
"15/11/2021","130.30","130.62","130.86","130.23","1.18M","-0.28%"
"13/11/2021","130.67","130.67","130.67","130.67","","0.11%"
"12/11/2021","130.53","130.36","130.81","130.31","1.36M","0.15%"
"11/11/2021","130.33","130.73","130.81","130.28","525.84K","-0.31%"
"10/11/2021","130.73","131.75","131.78","130.56","2.30M","-0.84%"
"09/11/2021","131.84","131.34","131.92","131.33","1.63M","0.41%"
"08/11/2021","131.30","131.72","131.80","131.25","1.18M","-0.40%"
"06/11/2021","131.83","131.83","131.83","131.83","","0.00%"
"05/11/2021","131.83","131.22","131.95","131.05","2.05M","0.40%"
"04/11/2021","131.31","130.59","131.44","130.56","1.71M","0.41%"
"03/11/2021","130.77","130.92","131.17","130.48","1.82M","-0.15%"
"02/11/2021","130.97","130.73","131.14","130.64","1.50M","0.24%"
"01/11/2021","130.66","130.64","130.80","130.39","1.48M","-0.03%"
"30/10/2021","130.70","130.70","130.70","130.70","","0.00%"
"29/10/2021","130.70","130.69","130.88","130.23","2.69M","-0.04%"
"28/10/2021","130.75","130.98","131.08","130.61","2.50M","-0.32%"
"27/10/2021","131.17","130.64","131.22","130.44","2.43M","0.43%"
"26/10/2021","130.61","130.59","130.70","130.36","1.27M","0.04%"
"25/10/2021","130.56","130.48","130.69","130.25","1.25M","0.06%"
"23/10/2021","130.48","130.48","130.48","130.48","","0.11%"
"22/10/2021","130.34","130.00","130.50","129.98","1.94M","0.12%"
"21/10/2021","130.19","130.44","130.58","129.97","1.77M","-0.34%"
"20/10/2021","130.64","130.52","130.75","130.25","1.71M","0.06%"
"19/10/2021","130.56","130.64","130.97","130.45","1.44M","-0.16%"
"18/10/2021","130.77","130.91","130.94","130.44","2.07M","-0.15%"
"15/10/2021","130.97","131.52","131.53","130.91","1.58M","-0.40%"
"14/10/2021","131.50","131.31","131.61","131.19","1.59M","0.21%"
"13/10/2021","131.22","131.11","131.48","130.80","2.33M","0.06%"
"12/10/2021","131.14","130.84","131.23","130.80","1.70M","0.23%"
"11/10/2021","130.84","131.03","131.05","130.80","527.14K","-0.15%"
"09/10/2021","131.03","131.03","131.03","131.03","","-0.08%"
"08/10/2021","131.14","131.34","131.58","131.03","2.29M","-0.19%"
"07/10/2021","131.39","131.72","131.78","131.31","1.40M","-0.25%"
"06/10/2021","131.72","131.73","131.84","131.41","1.72M","-0.01%"
"05/10/2021","131.73","132.08","132.11","131.64","1.49M","-0.26%"
"04/10/2021","132.08","132.19","132.27","131.86","1.47M","-0.09%"
"02/10/2021","132.20","132.20","132.20","132.20","","0.03%"
"01/10/2021","132.17","131.89","132.22","131.75","2.03M","0.43%"
"30/09/2021","131.61","131.66","131.95","131.34","2.06M","0.11%"
"29/09/2021","131.47","131.44","131.80","131.31","2.07M","0.00%"
"28/09/2021","131.47","131.75","131.84","131.22","2.48M","-0.25%"
"27/09/2021","131.80","132.08","132.17","131.61","1.86M","-0.22%"
"25/09/2021","132.09","132.09","132.09","132.09","","0.06%"
"24/09/2021","132.02","132.20","132.45","131.97","1.81M","-0.27%"
"23/09/2021","132.38","133.19","133.19","132.16","2.15M","-0.45%"
"22/09/2021","132.98","133.17","133.39","132.92","1.69M","-0.66%"
"21/09/2021","133.86","133.86","133.97","133.64","5.32K","0.01%"
"20/09/2021","133.84","133.38","133.91","133.38","2.73K","0.76%"
"18/09/2021","132.83","132.83","132.83","132.83","","-0.44%"
"17/09/2021","133.41","133.69","133.72","133.28","7.17K","-0.22%"
"16/09/2021","133.70","133.98","134.05","133.56","6.35K","-0.22%"
"15/09/2021","134.00","134.14","134.22","133.89","5.62K","-0.15%"
"14/09/2021","134.20","133.91","134.31","133.73","9.75K","0.21%"
"13/09/2021","133.92","133.80","133.98","133.72","7.02K","0.59%"
"11/09/2021","133.14","133.14","133.14","133.14","","-0.47%"
"10/09/2021","133.77","134.05","134.09","133.70","11.38K","-0.24%"
"09/09/2021","134.09","133.88","134.19","133.77","11.05K","0.17%"
"08/09/2021","133.86","133.61","133.91","133.61","8.23K","0.18%"
"07/09/2021","133.62","133.97","133.97","133.53","17.57K","0.25%"
"06/09/2021","133.28","133.97","133.97","133.23","151.06K","-0.06%"
"05/09/2021","133.36","133.38","134.02","133.33","11.24K","-0.49%"
"04/09/2021","134.02","134.02","134.02","133.38","1.35M","0.01%"
"03/09/2021","134.00","134.19","134.48","133.88","26.71K","-0.09%"
